index（序号）,model（模型名称）,url（页面路径）,type（模型类型）,mode（流程模式）,implementation_status（实施状态）,primary_keyword（主关键词）,commercial_keyword（商业/行动关键词）,secondary_keywords（副关键词簇）,intent（搜索意图）,sv_us_proxy（国家代理搜索量）,global_search_volume（全球搜索量）,keyword_difficulty（关键词难度 KD）,traffic_potential（流量潜力）,cpc_us_proxy（国家代理 CPC）,metric_notes（指标备注）,keyword_join（关键词匹配审计）,content_coverage_summary（内容覆盖汇总）,title_status（SEO 标题状态）,title_keyword_refs（SEO 标题关联关键词）,meta_description_status（Meta 描述状态）,meta_description_keyword_refs（Meta 描述关联关键词）,h1_status（H1 主标题状态）,h1_keyword_refs（H1 主标题关联关键词）,opening_status（首段/开场回答状态）,opening_keyword_refs（首段/开场回答关联关键词）,h2_topics_status（H2 主题状态）,h2_topics_keyword_refs（H2 主题关联关键词）,api_access_status（API/访问状态）,api_access_keyword_refs（API/访问关联关键词）,pricing_status（价格状态）,pricing_keyword_refs（价格关联关键词）,use_cases_status（使用场景状态）,use_cases_keyword_refs（使用场景关联关键词）,comparison_status（对比状态）,comparison_keyword_refs（对比关联关键词）,prompt_library_status（Prompt 示例状态）,prompt_library_keyword_refs（Prompt 示例关联关键词）,faq_status（FAQ 常见问题状态）,faq_keyword_refs（FAQ 常见问题关联关键词）,schema_status（结构化数据状态）,schema_keyword_refs（结构化数据关联关键词）,canonical_hreflang_status（Canonical/Hreflang状态）,canonical_hreflang_keyword_refs（Canonical/Hreflang关联关键词）,internal_links_status（内链状态）,internal_links_keyword_refs（内链关联关键词）,faq_source（FAQ 来源）,faq_questions_count（FAQ 问题数）,fact_boundary（事实边界）,notes（备注）,source_evidence（数据来源）
57,eleven_multilingual_v2,/models/eleven_multilingual_v2,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,eleven_multilingual_v2,elevenlabs api model_id eleven_multilingual_v2,elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,branded/informational (inferred),20,150,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,eleven_multilingual_v2,covered,eleven_multilingual_v2 · elevenlabs api model_id eleven_multilingual_v2,covered,eleven_multilingual_v2,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,not_applicable,,covered,elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs · elevenlabs api model_id eleven_multilingual_v2,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,covered,elevenlabs api model_id eleven_multilingual_v2 · elevenlabs model eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 · elevenlabs model_id eleven_multilingual_v2 docs,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
58,gemini-3.1-flash-lite-preview,/models/gemini-3.1-flash-lite-preview,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-3.1-flash-lite-preview,gemini 3.1 flash-lite preview pricing,gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,informational+transactional+branded,200,1200,,,150,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-3.1-flash-lite-preview,covered,gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini-3.1-flash-lite-preview,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,not_applicable,,covered,gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,covered,gemini 3.1 flash-lite preview pricing · gemini-3.1-flash-lite-preview price · google/gemini-3.1-flash-lite-preview · gemini 3.1 flash-lite preview pricing,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
59,gemini-flash-latest,/models/gemini-flash-latest,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-flash-latest,gemini-flash-latest pricing,gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,branded/informational (inferred),30,200,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-flash-latest,covered,gemini-flash-latest · gemini-flash-latest pricing,covered,gemini-flash-latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,not_applicable,,covered,gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest · gemini-flash-latest pricing,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,covered,gemini-flash-latest pricing · gemini-flash-lite-latest · gemini flash lite latest · gemini 2.5 flash latest,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
60,qwen3.8-max,/models/qwen3.8-max,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,qwen3.8-max,qwen3.8-max pricing,qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,branded/informational (inferred),50,500,1,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,qwen3.8-max,covered,qwen3.8-max · qwen3.8-max pricing,covered,qwen3.8-max,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,not_applicable,,covered,qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba · qwen3.8-max pricing,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,covered,qwen3.8-max pricing · qwen3.8-max-preview · qwen3.8 max preview · qwen3.8-max alibaba,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
61,seedance-2.0,/models/seedance-2.0,video,quick,implemented_local_pending_staging_browser_and_index_observation,seedance-2.0,byteplus seedance 2.0 api pricing official,how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,branded/informational (inferred),30,150,,,,,source_matrix_join_verified,covered=14; planned=0; not_applicable=0,covered,seedance-2.0,covered,seedance-2.0 · byteplus seedance 2.0 api pricing official,covered,seedance-2.0,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing · byteplus seedance 2.0 api pricing official,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,covered,byteplus seedance 2.0 api pricing official · how to get seedance 2.0 · seedance 2.0 video ai · seedance 2.0 video generation pricing,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
62,gemini-2.5-flash,/models/gemini-2.5-flash,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gemini-2.5-flash,gemini 2.5 flash api pricing per token,openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,informational+branded,200,1800,,,70,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gemini-2.5-flash,covered,gemini-2.5-flash · gemini 2.5 flash api pricing per token,covered,gemini-2.5-flash,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,not_applicable,,covered,openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview · gemini 2.5 flash api pricing per token,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,covered,gemini 2.5 flash api pricing per token · openrouter gemini 2.5 flash · vertex ai gemini 2.5 flash pricing · models/gemini-2.5-flash-image-preview,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
63,qwen3.7-max,/models/qwen3.7-max,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,qwen3.7-max,qwen3.7-max api pricing,qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,informational+branded,200,1300,,,170,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,qwen3.7-max,covered,qwen3.7-max · qwen3.7-max api pricing,covered,qwen3.7-max,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,not_applicable,,covered,qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba · qwen3.7-max api pricing,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,covered,qwen3.7-max api pricing · qwen3.7-max api pricing · qwen3.7 max price · qwen3.7-max alibaba,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
64,claude-fable-5,/models/claude-fable-5,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,claude-fable-5,claude fable 5 api model id,anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,informational+branded,100,500,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,claude-fable-5,covered,claude-fable-5 · claude fable 5 api model id,covered,claude-fable-5,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,not_applicable,,covered,anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance · claude fable 5 api model id,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,covered,claude fable 5 api model id · anthropic claude fable 5 ai model · claude fable 5 for free · claude fable 5 performance,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
65,claude-opus-4-8,/models/claude-opus-4-8,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,claude-opus-4-8,anthropic claude-opus-4-8 model api 2026,anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,branded/informational (inferred),40,250,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,claude-opus-4-8,covered,claude-opus-4-8 · anthropic claude-opus-4-8 model api 2026,covered,claude-opus-4-8,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,not_applicable,,covered,anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026 · anthropic claude-opus-4-8 model api 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,covered,anthropic claude-opus-4-8 model api 2026 · anthropic claude-opus-4-8 model api 2026 · anthropic api claude-opus-4-8 model id 2026 · anthropic api model id claude-opus-4-8 2026,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
66,gpt-5.4,/models/gpt-5.4,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,gpt-5.4,openai api pricing official gpt-5.4 mini nano,openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,informational+commercial+branded,700,4200,37,3300,130,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,gpt-5.4,covered,gpt-5.4 · openai api pricing official gpt-5.4 mini nano,covered,gpt-5.4,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,not_applicable,,covered,openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer · openai api pricing official gpt-5.4 mini nano,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,covered,openai api pricing official gpt-5.4 mini nano · openai gpt-5.4 · gpt-5.4-2026-03-05 · gpt-5.4 openai developer,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
67,macaron-v1-venti,/models/macaron-v1-venti,text/chat,quick,implemented_local_pending_staging_browser_and_index_observation,macaron-v1-venti,N/A,N/A,branded/informational (inferred),0,10,,,,,source_matrix_join_verified,covered=13; planned=0; not_applicable=1,covered,macaron-v1-venti,covered,macaron-v1-venti,covered,macaron-v1-venti,covered,,covered,,covered,,covered,,covered,,covered,,not_applicable,,covered,,covered,,covered,,covered,,inferred from Matching terms + verified facts,4,"Catalog-backed facts only; previous-generation benchmarks, free/unlimited access, local/open-source claims, provider guarantees and unsupported modality claims are not inferred.",Generated model-specific pack implemented from live catalog fields + keyword matrix; shared shell retained; staging/browser/fact review and index observation pending.,docs/seo-model-page-keyword-matrix.json; docs/seo-model-page-content-coverage.json; docs/seo-model-page-keyword-research-brief.md; https://docs.ahrefs.com/en/api/reference/keywords-explorer/get-matching-terms; https://docs.ahrefs.com/en/api/reference/serp-overview/get-serp-overview; website/src/lib/model-landing.ts generated/curated landingContent; website tests
